001	Bulbasaur	Fushigidane	231	–	–	–	080	–	–	Egg
002	Ivysaur	Fushigisou	232	–	–	–	081	–	–	Bulbasaur
003	Venusaur	Fushigibana	233	–	–	–	082	–	–	Ivysaur
004	Charmander	Hitokage	234	–	–	–	083	–	–	Egg
005	Charmeleon	Lizardo	235	–	–	–	084	–	–	Charmander
006	Charizard	Lizardon	236	–	–	–	085	–	–	Charmeleon
007	Squirtle	Zenigame	237	–	–	–	086	–	–	Egg
008	Wartortle	Kameil	238	–	–	–	087	–	–	Squirtle
009	Blastoise	Kamex	239	–	–	–	088	–	–	Wartortle
010	Caterpie	Caterpie	024	–	–	–	023	–	–	Egg
011	Metapod	Transel	025	–	–	–	024	–	–	Caterpie
012	Butterfree	Butterfree	026	–	–	–	025	–	–	Metapod
013	Weedle	Beedle	027	–	–	–	026	–	–	Egg
014	Kakuna	Cocoon	028	–	–	–	027	–	–	 Weedle
015	Beedrill	Spear	029	–	–	–	028	–	–	Kakuna
016	Pidgey	Poppo	010	–	–	–	017	–	–	Egg
017	Pidgeotto	Pigeon	011	–	–	–	018	–	–	Pidgey
018	Pidgeot	Pigeot	012	–	–	–	019	–	–	Pidgeotto
019	Rattata	Koratta	017	–	–	059	–	–	–	Egg
020	Raticate	Ratta	018	–	–	060	–	–	–	Rattata
021	Spearow	Onisuzume	013	–	–	–	–	–	109	Egg
022	Fearow	Onidrill	014	–	–	–	–	–	110	Spearow
023	Ekans	Arbo	050	–	218	–	–	–	037	Egg
024	Arbok	Arbok	051	–	219	–	–	–	038	Ekans
025	Pikachu	Pikachu	022	156	104	–	036	–	–	Pichu
026	Raichu	Raichu	023	157	105	–	037	–	–	Pikachu
027	Sandshrew	Sand	048	112	–	113	–	–	097	Egg
028	Sandslash	Sandpan	049	113	–	114	–	–	098	Sandshrew
029	Nidoran♀	Nidoran♀	095	–	–	–	–	104	–	Egg
030	Nidorina	Nidorina	096	–	–	–	–	105	–	Nidoran♀
031	Nidoqueen	Nidoqueen[1]	097	–	–	–	–	106	–	Nidorina
032	Nidoran♂	Nidoran♂	098	–	–	–	–	107	–	Egg
033	Nidorino	Nidorino	099	–	–	–	–	108	–	Nidoran♂
034	Nidoking	Nidoking	100	–	–	–	–	109	–	Nidorino
035	Clefairy	Pippi	041	204	100	089	–	–	–	Cleffa
036	Clefable	Pixy	042	205	101	090	–	–	–	Clefairy
037	Vulpix	Rokon	127	153	–	248	–	–	–	Egg
038	Ninetales	Kyukon	128	154	–	249	–	–	–	Vulpix
039	Jigglypuff	Purin	044	138	234	282		–	120	Igglybuff
040	Wigglytuff	Pukurin	045	139	235	283	–	–	121	Jigglypuff
041	Zubat	Zubat	037	063	028	061	145	–	–	Egg
042	Golbat	Golbat	038	064	029	062	146	–	–	Zubat
043	Oddish	Nazonokusa	083	088	–	–	105	–	–	Egg
044	Gloom	Kusaihana	084	089	–	–	106	–	–	Oddish
045	Vileplume	Ruffresia	085	090	–	–	107	–	–	Gloom
046	Paras	Paras	070	–	–	–	–	–	–	Egg
047	Parasect	Parasect	071	–	–	–	–	–	–	Paras
048	Venonat	Kongpang	109	245	–	–	–	–	–	Egg
049	Venomoth	Morphon	110	246	–	–	–	–	–	Venonat
050	Diglett	Digda	134	–	–	–	–	–	001	Egg
051	Dugtrio	Dugtrio	135	–	–	–	–	–	002	Diglett
052	Meowth	Nyarth	138	–	–	–	–	–	–	Egg
053	Persian	Persian	139	–	–	–	–	–	–	Meowth
054	Psyduck	Koduck	140	158	043	028	059	–	–	Egg
055	Golduck	Golduck	141	159	044	029	060	–	–	Psyduck
056	Mankey	Mankey	136	211	–	–	–	–	–	Egg
057	Primeape	Okorizaru	137	212	–	–	–	–	–	Mankey
058	Growlithe	Gardie	129	–	–	051	–	–	–	Egg
059	Arcanine	Windie	130	–	–	052	–	–	–	Growlithe
060	Poliwag	Nyoromo	072	–	220	–	–	–	033	Egg
061	Poliwhirl	Nyorozo	073	–	221	–	–	–	034	Poliwag
062	Poliwrath	Nyorobon	074	–	222	–	–	–	035	Poliwhirl
063	Abra	Casey	089	039	020	–	102	–	–	Egg
064	Kadabra	Yungerer	090	040	021	–	103	–	–	Abra
